Word,Frequency
matatizo,6
ana,6
mwa,6
huru,6
huu,6
mengi,6
bali,6
kumtumikia,6
kuvumilia,6
dada,6
unahisije,5
uovu,5
ndiyo,5
sifu,5
jeshi,5
mwanaye,5
njo,5
kuishi,5
kufundisha,5
mwili,5
iweni,5
mmoja,5
mataifa,5
woga,5
kimbilio,5
mfano,5
nitume,5
tusaidie,5
nyote,5
tii,5
wachungaji,5
mlango,5
jua,5
marko,5
hubiri,5
wakorintho,5
nataka,5
tusali,5
kutangaza,5
tumwige,5
kale,5
yohana,5
endeleeni,5
uje,5
malaika,5
utawala,5
nini,5
tele,5
faraja,5
umezaliwa,5
taifa,5
njooni,5
wao,5
petro,5
kol,5
shida,5
ab,5
yenu,5
vita,5
ik,5
mwaminifu,5
en,5
kutembea,5
twasimama,5
tuulinde,5
kutii,5
ad,5
tufanye,5
waefeso,5
nayo,5
iwe,5
un,5
kutaniko,5
nazo,5
ajabu,5
usiku,5
ukombozi,5
uhakika,5
uliye,5
ngome,5
gizani,5
maandiko,5
twaiona,5
fahari,5
nya,5
wasikie,5
twajua,4
hii,4
zamani,4
maishani,4
mvua,4
atawaita,4
sababu,4
tumejitoa,4
mshikamanifu,4
majaribu,4
katoa,4
inatuchochea,4
kusudi,4
al,4
ulitoa,4
sauti,4
watoto,4
hakuna,4
kuliko,4
kinyongo,4
hauna,4
twashukuru,4
chanzo,4
mtu,4
amana,4
timotheo,4
lolote,4
mwanangu,4
mke,4
husikia,4
una,4
kumsifu,4
je,4
hatimaye,4
hakika,4
yule,4
mtiwa,4
fidia,4
twahitaji,4
enyi,4
kujua,4
huduma,4
atawala,4
uy,4
ninakupa,4
utumishi,4
familia,4
uadilifu,4
waovu,4
ek,4
wajua,4
kiroho,4
muda,4
fursa,4
mahitaji,4
unastahili,4
yu,4
ajili,4
twaweza,4
kibali,4
mawazo,4
mwanzoni,4
shukrani,4
punde,4
hazina,4
kutawala,4
twaona,4
mweza,4
inazidi,4
kitabu,4
wajue,4
mahali,4
mwanao,4
maagizo,4
hatutaogopa,4
ki,4
thabiti,4
wanadamu,4
tunahitaji,4
huzuni,4
wafundishe,4
the,4
yer,4
wazia,4
heshima,4
twende,4
wazee,4
vitu,4
twaomba,4
har,4
watumishi,4
latupa,4
ol,4
magedoni,4
kwetu,4
watawala,4
maji,4
thamani,4
tuzidi,4
gal,4
dan,4
twasali,4
miungu,4
kamili,4
moja,4
songeni,4
onjeni,4
bure,4
hiyo,4
su,4
ye,4
we,4
huokoa,4
tusifu,4
licha,4
twapata,4
mwone,4
uwezo,3
kutafuta,3
twautangaza,3
umesimamishwa,3
maumivu,3
utatawala,3
mzigo,3
utaleta,3
chenye,3
penda,3
machozi,3
muujiza,3
kundi,3
mume,3
yaja,3
daraja,3
vipya,3
tuhubiri,3
malipo,3
ndipo,3
mlinitendea,3
mahangaiko,3
hao,3
tufanyapo,3
mwingine,3
kukupa,3
wanawake,3
pa,3
aj,3
binti,3
lakini,3
mal,3
kutafakari,3
ameahidi,3
tumekuwa,3
utembee,3
kiasi,3
kuwasaidia,3
uhuru,3
akupe,3
wamwabudu,3
uko,3
mlima,3
imba,3
kumpenda,3
mchungaji,3
mika,3
tukufu,3
tukifanya,3
tutaendelea,3
tumtii,3
biblia,3
tusomapo,3
tutii,3
atatubariki,3
tutakuwa,3
jirani,3
mavuno,3
twaishi,3
kuimba,3
ukarimu,3
anatupenda,3
ambacho,3
ambao,3
eze,3
kwao,3
msifu,3
husamehe,3
ai,3
mijini,3
vijijini,3
kotekote,3
taji,3
mbegu,3
twatafuta,3
wapendwa,3
of,3
mwaliko,3
waone,3
yaonekana,3
em,3
upole,3
yazidi,3
tume,3
shiriki,3
iko,3
mtumwa,3
jengo,3
mwanzo,3
pasipo,3
wanaostahili,3
bariki,3
manabii,3
tafuteni,3
vijana,3
mtapata,3
twahubiri,3
namna,3
tujulishe,3
yos,3
sali,3
ac,3
ndani,3
twakushukuru,3
twajiweka,3
mizigo,3
tunakuomba,3
litakaswe,3
niwezeshe,3
nadhiri,3
msaada,3
utaratibu,3
kitheokrasi,3
mhubiri,3
watiwa,3
ar,3
atakupa,3
shaka,3
kikweli,3
ataka,3
ulinzi,3
twatembea,3
wakristo,3
msihofu,3
twawakaribisha,3
twawajali,3
tupende,3
ubaguzi,3
kumwiga,3
mwongozo,3
hiari,3
utii,3
shambani,3
tafadhali,3
ametupa,3
kaza,3
hili,3
tupendane,3
tufurahie,3
kutumika,3
anastahili,3
wale,3
wenyewe,3
kufurahisha,3
tunakushukuru,3
nipe,3
im,3
ataleta,3
afe,3
mpendwa,3
vema,3
anajua,3
watenda,3
chini,3
twakusifu,3
ndiwe,3
harusi,3
kesheni,3
kusubiri,3
awe,3
hatuhofu,3
ama,3
eh,3
vizuri,3
chakula,3
ufahamu,3
hatua,3
twatazamia,3
twafanya,3
sam,3
umati,3
tunathamini,3
wakatae,3
mkate,3
nyimbo,3
dhahabu,3
zatangaza,3
yuko,3
hatuna,3
um,3
kaburini,3
hofu,3
kukujua,3
hutupa,3
uamuzi,2
wafu,2
hatuishi,2
tower,2
kando,2
wasonge,2
yupo,2
ushikamanifu,2
kwel,2
atuongoza,2
jifanyie,2
ninyi,2
mtupie,2
nakuomba,2
waja,2
pindi,2
hutulinda,2
tunaweza,2
tunatangaza,2
twafurahisha,2
kushangilia,2
atakuimarisha,2
kulitakasa,2
mbali,2
unategemea,2
kaisari,2
iz,2
watairithi,2
yaliongozwa,2
igeni,2
tufariji,2
kutenda,2
uk,2
twatumikia,2
kuyashiriki,2
ustadi,2
mtegemee,2
tutashinda,2
tendo,2
sw,2
wajiamulie,2
sjjyls,2
iu,2
kujizuia,2
ewe,2
kusifu,2
wapya,2
busara,2
tumependelewa,2
hutufariji,2
mikutanoni,2
mzaliwa,2
gani,2
kupanda,2
twakupenda,2
tuepuke,2
mhakikishe,2
kukutana,2
akili,2
yenye,2
sambamba,2
usalama,2
kusikia,2
nanyi,2
ameteua,2
huo,2
hatuogopi,2
tunapohubiri,2
fahirisi,2
majina,2
ambayo,2
yafaayo,2
mpaka,2
kumtii,2
dilifu,2
undugu,2
kuwapa,2
yaongezeka,2
muumba,2
zinifuatilie,2
hukuimarisha,2
yana,2
umeahidiwa,2
lihubiri,2
mwokozi,2
huwapa,2
kuongezeka,2
inazo,2
ukuu,2
mikazo,2
ip,2
pongezi,2
ninakupenda,2
zifurahi,2
kudumu,2
wasaidieni,2
tunalemewa,2
hukumu,2
uchungu,2
ishara,2
kusonga,2
acheni,2
upendayo,2
ngao,2
mara,2
milangoni,2
njiani,2
kujitayarisha,2
mzuri,2
tuimbe,2
tushangilie,2
twatamani,2
asubuhi,2
hutuchochea,2
kufariji,2
kukusifu,2
atawale,2
tito,2
anatupa,2
pote,2
kumtukuza,2
tumejiweka,2
maombi,2
tumtumikie,2
kukiwa,2
yang,2
ribu,2
nifanye,2
nia,2
ghadhabu,2
mavumbi,2
popote,2
mwasaidie,2
kusitawisha,2
utapata,2
halisi,2
baharini,2
zatuelimisha,2
walitakasao,2
mashauri,2
neh,2
ikiwa,2
ii,2
oy,2
mtafute,2
asiye,2
msiwaogope,2
ua,2
it,2
konde,2
pigeni,2
pendo,2
wasikiwa,2
unakutangaza,2
nitawapa,2
kutoa,2
unamsifu,2
zamtukuza,2
tumuige,2
kuwahubiria,2
chuki,2
nipende,2
watch,2
astahili,2
vimsifu,2
kutokuwa,2
chetu,2
af,2
mawe,2
hisia,2
kasema,2
naja,2
yeyote,2
haina,2
twatii,2
tunainama,2
lawama,2
piga,2
unyenyekevu,2
tusonge,2
makuu,2
nuruni,2
utufundishe,2
angaza,2
umbo,2
ot,2
twamsifu,2
hivi,2
twashiriki,2
mtumishi,2
bahari,2
shangilieni,2
nakupa,2
udumu,2
tutasamehe,2
tuliyo,2
ulimwenguni,2
tena,2
vikumbusho,2
waimarike,2
twamtumikia,2
nda,2
tuzingatie,2
tunapata,2
unakaribia,2
wapenda,2
anatuonyesha,2
wakaribisheni,2
usiogope,2
mwombe,2
tutumikie,2
tusamehevyo,2
kuthamini,2
watuonyesha,2
kumwakilisha,2
mwetu,2
wathesalonike,2
nira,2
hutenda,2
imbeni,2
twajulisha,2
bibi,2
mwangaza,2
tunajifunza,2
wadai,2
utakuwa,2
msikilize,2
tract,2
hekalu,2
kusimama,2
uone,2
nijulishe,2
ambaye,2
pigano,2
jioni,2
africa,2
tunalo,2
kufunuliwa,2
ev,2
unyofu,2
waita,2
mlo,2
mdogo,2
ninakutegemea,2
mjifunze,2
watupendao,2
mama,2
and,2
mkubwa,2
kingine,2
atafuta,2
chochote,2
wazazi,2
kufunza,2
ujenzi,2
unatuunganisha,2
twatumai,2
mfumo,2
tuishi,2
south,2
kukutumikia,2
kutumikia,2
mwabudu,2
ujanani,2
aanza,2
mwakaribishwa,2
society,2
nitumikie,2
tuvumilie,2
twalitangaza,2
karne,2
tunayo,2
jinsi,2
tuhofu,2
hatuwezi,2
peke,2
tushiriki,2
hizo,2
watafufuliwa,2
tuwapende,2
anasema,2
mweupe,2
nalo,2
karibishaneni,2
ew,2
tufundishwe,2
ukumbusho,2
tuangaze,2
tunashangilia,2
kichwa,2
tuipende,2
kwisha,2
mvi,2
mwamba,2
ow,2
mburudishwe,2
ri,2
tunasubiri,2
chake,2
hututegemeza,2
twafurahi,2
wanaume,2
kwangu,2
waza,2
kuwapo,2
hebu,2
lini,2
nyingine,2
uzuri,2
ajua,2
kiu,2
njaa,2
jipya,2
faida,2
twangaze,2
viziwi,2
wataokolewa,2
mtawala,2
tembea,2
tianeni,2
painia,2
kuutafuta,2
nipate,2
kutulinda,2
vipofu,2
hai,2
tutumie,2
kisitenganishwe,2
zao,2
langu,2
io,2
ole,2
twazitangaza,2
ingawa,2
kushikilia,2
tuwaonyeshe,2
mtumaini,2
uvumilie,2
ibilisi,2
haununuliki,2
wajifunze,2
kutupa,2
ameunganisha,2
waadilifu,2
wajane,2
twakusihi,2
kile,2
ulimtoa,2
tufanyeje,2
tunajivunia,2
alichounganisha,2
pumziko,2
at,2
moyon,2
akumbuka,2
mbi,2
miaka,2
twasema,2
wapinzani,2
iangaze,2
hawawezi,2
tutavumilia,2
bible,2
tutangazapo,2
dhihaka,2
kuitwa,2
tuwezayo,2
wanazitangaza,1
huvumilia,1
wivu,1
watimia,1
mafunzo,1
sef,1
twapa,1
tusisahau,1
kwani,1
unabii,1
watoke,1
zizi,1
twawaheshimu,1
wenzao,1
wawafadhilio,1
ataishi,1
wataitaje,1
mnywe,1
twapenda,1
anatamani,1
siwe,1
kuipata,1
unatawala,1
usiwe,1
mikonoye,1
twataja,1
uongezeke,1
inaburudisha,1
kufanywa,1
inapendeza,1
walishwa,1
upatano,1
wametuvuta,1
wanaomwita,1
tukaribishane,1
fu,1
atupe,1
wanyo,1
tutumikiapo,1
sefania,1
twaeneza,1
tumwombe,1
twakukosea,1
tuwatie,1
imepungua,1
wanatuongoza,1
ishi,1
twajifunza,1
kesho,1
tunapoumia,1
tufundishe,1
hufariji,1
angalau,1
tunapochoka,1
haupo,1
awajua,1
kulemewa,1
yatuinua,1
mkono,1
waungeni,1
tusikengeushwe,1
utuongoze,1
tuwafariji,1
misaada,1
twaenda,1
tuondolee,1
uhitaji,1
twezayo,1
majanga,1
twaandaa,1
tupanue,1
lugha,1
uchaguzi,1
watum,1
waijua,1
tupendeze,1
printed,1
tunakusihi,1
waamue,1
wakubali,1
kia,1
wapendavyo,1
wafarijike,1
kus,1
hautashindwa,1
akifa,1
tusaidietuwe,1
tuwategemeze,1
tusiwakwaze,1
wanahangaikia,1
tukosapo,1
wachambuzi,1
tusiwe,1
anatutia,1
twawathamini,1
tuwahangaikie,1
siri,1
tutatenda,1
wasiyemjua,1
hutaka,1
tunauthamini,1
watoweka,1
ametuandalia,1
hatutachoka,1
wanatuwekea,1
watokea,1
linalotupa,1
kwenenda,1
tutakimbia,1
atupa,1
kuwavipya,1
tweneze,1
wanaotegemeka,1
wamwigao,1
twakutolea,1
wajistareheshe,1
kwawa,1
zinaonyesha,1
hufanya,1
angewakomboa,1
ufwate,1
is,1
linaposemwa,1
ta,1
masihi,1
ilifunua,1
lafurahisha,1
lazimatufundishwe,1
walitabiri,1
kulithamini,1
lazimatuwe,1
tunaimarishana,1
twabebeana,1
tunaimarishwa,1
tubaki,1
tutatumikia,1
huchungulia,1
unaimarika,1
ulivyotokea,1
kung,1
miti,1
kwanzaufalme,1
izaavyo,1
waliandika,1
walichochewa,1
waliompenda,1
iliandikwa,1
matunda,1
kinafumbua,1
wingi,1
tukitii,1
uc,1
kutuongoza,1
ih,1
wanaye,1
anayetulisha,1
tuwatiapo,1
aongoza,1
atufunulia,1
tujifunzapo,1
walilizingatia,1
tutiane,1
mtupieyehova,1
isonge,1
tutapatunza,1
pawe,1
imejawa,1
kupata,1
uzidi,1
lipokee,1
twaliweka,1
kulijenga,1
liitwe,1
tunakupa,1
tumepata,1
twatoa,1
vimetoka,1
hatutasahau,1
hasha,1
tunavyokupatia,1
imekuwa,1
litukuzwe,1
panapoitwa,1
fal,1
tubariki,1
tunaliona,1
latuvutia,1
umeibariki,1
zatuongoza,1
zaturekebisha,1
kamilifu,1
lapenya,1
lina,1
twawekwa,1
walioandika,1
linalopendeza,1
iliongoza,1
napaswa,1
tukweze,1
tuzoeze,1
kubali,1
utupe,1
iliyopangwa,1
kialfabeti,1
umbaji,1
ukamilifu,1
palipo,1
huonyesha,1
nyua,1
atutunza,1
huburudisha,1
tunafarijika,1
twaburudishwa,1
huimarisha,1
kukujengea,1
twishi,1
inatufariji,1
wakifa,1
tukichoka,1
hatutaacha,1
wanaongezeka,1
by,1
tulitii,1
tununue,1
hawasahau,1
badiliko,1
nidhamu,1
mchana,1
hana,1
kuhani,1
mdhalimu,1
twawaambia,1
hatuwafahamu,1
tunatembea,1
upendeleo,1
matokeo,1
tuimbazo,1
zatutia,1
atatufadhili,1
tamu,1
anathamini,1
twamwiga,1
tukutanike,1
tusikosekane,1
tuwafadhilipo,1
atamwinua,1
umepotoka,1
haumtambui,1
hanyimi,1
ufaao,1
kututia,1
wamwogopao,1
ujao,1
hunyoosha,1
latutegemeza,1
tuhitajiyo,1
kut,1
tukimsikiliza,1
kwelikweli,1
watainuka,1
karamu,1
ayubu,1
aliyoagiza,1
fanaka,1
zitakazokuja,1
upesi,1
ubarikiwe,1
majengo,1
kukawa,1
aliyeipinga,1
kujenga,1
mwovu,1
ilivyopotea,1
linasimulia,1
yanadumu,1
kaburi,1
walalao,1
twafundishwa,1
matakwa,1
tumekutanika,1
latufunza,1
latuangazia,1
huwaweka,1
kufaulu,1
tunafundishwa,1
twamshukuru,1
unitembeze,1
tusikiayo,1
tusomayo,1
tuthamini,1
nifundishe,1
yazukapo,1
nieleweshe,1
tunatiwa,1
kuwahusu,1
kisikutawale,1
tusilie,1
tusitawishe,1
staha,1
watimize,1
awabariki,1
wamelichunguza,1
yatafanywa,1
akaa,1
hayatakuwapo,1
kilio,1
asema,1
wameapa,1
imefumwa,1
kamba,1
nafanya,1
tazameni,1
tukimwiga,1
yerusalemu,1
apendaye,1
tukitenda,1
itaondoa,1
bi,1
kuonyesha,1
tunapaswa,1
tukiwaheshimu,1
tukivumiliana,1
tukiepuka,1
huruma,1
tukisamehe,1
huyu,1
mfupa,1
vimepiganwa,1
tushukuru,1
tutamfurahisha,1
tumkumbuke,1
mvulana,1
tuwaeleze,1
atawaongoza,1
hakutakuwa,1
katuahidi,1
tuwaheshimu,1
kututunza,1
makosa,1
kisiwepo,1
hutubariki,1
tunapomtumikia,1
atafanya,1
waliomo,1
tumheshimu,1
tuapavyo,1
atuongoze,1
ninayempenda,1
mwenzi,1
amenipa,1
mwenzangu,1
nina,1
paradisoni,1
kaahidi,1
amepambwa,1
aliyotoa,1
anapopata,1
inawezekana,1
uliyojifunza,1
malango,1
ag,1
mwangaze,1
yakupendezayo,1
ametuahidi,1
kujichunguza,1
unisaidie,1
niufurahishe,1
ey,1
nitatimiza,1
natoa,1
kuchunguza,1
msingi,1
changu,1
zitatimia,1
kioo,1
kukushukuru,1
nitakupa,1
atatuongoza,1
ake,1
kutetea,1
walindao,1
shauri,1
kukesha,1
eu,1
dumisha,1
unapojaribiwa,1
usipoteze,1
kujaribiwa,1
kumwomba,1
tukitubu,1
kiondolewe,1
kufutwa,1
jiji,1
ziweze,1
kapanga,1
hilo,1
tumeazimia,1
tuone,1
tuwepo,1
om,1
twatafakari,1
yamejawa,1
atupenda,1
tulinde,1
alitafakari,1
katuwekea,1
tunawezaje,1
kuwapendeza,1
kuitimiza,1
tuazimie,1
watakaovumilia,1
ataku,1
kikupate,1
apatapo,1
wamepata,1
unaotokana,1
tunachochewa,1
afufue,1
kalitandaza,1
hema,1
katabiri,1
uoga,1
hayatatutia,1
tuonayo,1
kutetewa,1
vitakuwa,1
umeshawekwa,1
dhidi,1
twaugua,1
ije,1
wanaovumilia,1
av,1
tutamwimbia,1
utaitawala,1
fikiria,1
walipotumikia,1
walikuwa,1
tuachiliwe,1
wanapendeza,1
uwapongeze,1
uwategemeze,1
ikumbuke,1
uwakumbuke,1
wakiishi,1
anayeitwa,1
majira,1
mweka,1
twashikilia,1
ataufutilia,1
ms,1
kujiokoa,1
kuonekana,1
mtupu,1
ubatili,1
kuwajali,1
ufe,1
mlaani,1
husema,1
ifun,1
obu,1
atupaye,1
miujiza,1
vyatoka,1
bua,1
mwale,1
tone,1
kitoto,1
tuseme,1
yoe,1
mwishowe,1
hab,1
waweza,1
wamepoteza,1
twawaona,1
anawaagiza,1
unitumikie,1
umeacha,1
ilitabiriwa,1
hupata,1
ambazo,1
kumbuka,1
ukivunjwa,1
nitakuinua,1
watakula,1
ujapoanguka,1
furahisha,1
wanipenda,1
nyasi,1
mdhihaki,1
tuzo,1
kuona,1
apate,1
wadumishe,1
uaminifu,1
wazikumbuke,1
uamkapo,1
ulalapo,1
barabarani,1
ziwe,1
wafundisheni,1
urithi,1
mmepata,1
makao,1
akuthawabishe,1
mwanakondoo,1
mwitu,1
dumuni,1
awategemeze,1
jipeni,1
awapenda,1
ujitiisho,1
mnaotimiza,1
mabinti,1
watakapoona,1
mwastahili,1
vielelezo,1
watakapoimba,1
ziwepo,1
twawakumbuka,1
huvutiwa,1
waliokuwa,1
utayaona,1
tunayajua,1
ukitazama,1
waliomwogopa,1
amu,1
mbwa,1
ruthu,1
hutuimarisha,1
tujapolemewa,1
kuvunjika,1
ushinde,1
azimia,1
wanampendeza,1
tumeacha,1
aonyesha,1
kuokolewa,1
hajachoka,1
kuiponyoka,1
mrefu,1
kavumilia,1
liondolewe,1
watajua,1
anapenda,1
anaitwa,1
jamani,1
tumebadili,1
atawalapo,1
ameagiza,1
kutakuwa,1
atakomesha,1
waishi,1
kukuabudu,1
uwapendao,1
umekwisha,1
umewakusanya,1
tunatazamia,1
kulindwa,1
twaongozwa,1
yatupa,1
utukubali,1
kuionyesha,1
tukae,1
utulivu,1
wafanyayo,1
waonyesha,1
tusizozistahili,1
tangu,1
mtakatifu,1
tuyafanyayo,1
tuwaige,1
kuburudishwa,1
laini,1
waichukue,1
wataabikao,1
akaribisha,1
tunakusifu,1
wakitubu,1
wachukia,1
haitakawia,1
zitimie,1
utaharibu,1
wakawia,1
wanashindana,1
atawafedhehesha,1
twahuzunika,1
wazidi,1
wataangamia,1
yakobo,1
tutumaini,1
ulitununua,1
tukuze,1
waonyeshao,1
anatuhimiza,1
utuchochee,1
ou,1
agano,1
alitimize,1
atakukomboa,1
kumtawaza,1
katuonyesha,1
zaonyesha,1
muone,1
myanywe,1
akamtuma,1
twaunganishwa,1
kunatuchochea,1
yakaribia,1
watukoseapo,1
tuwasamehe,1
mwororo,1
alimtoa,1
wakoritho,1
haushindwi,1
huhimili,1
kustahimili,1
hutusaidia,1
kumpendeza,1
vyetu,1
vipawa,1
tuonyeshapo,1
unaotoka,1
choyo,1
tegemeza,1
tunaziona,1
utadumu,1
yapita,1
uwakao,1
moto,1
linaeleweka,1
wanajiunga,1
ataponda,1
nehemia,1
paazeni,1
hatakawia,1
simameni,1
tegemeeni,1
litangazwe,1
mtafuteni,1
vichwa,1
inueni,1
twaziona,1
pendaneni,1
mtegemeeni,1
isha,1
itufund,1
wanapopata,1
utafuteni,1
tuwasaidie,1
mwenendo,1
wanapohubiri,1
mafundisho,1
tumpendeze,1
hatutamwacha,1
kumwamini,1
kuzijua,1
zatufaa,1
tuko,1
ituongoze,1
twashikamana,1
usikie,1
wajibu,1
niokoe,1
samweli,1
zenye,1
tueneze,1
yawachochea,1
tusilaumiwe,1
tukifuata,1
iyo,1
utakaponguruma,1
tukijitahidi,1
mitego,1
tusitazame,1
nyuma,1
maadui,1
tusimame,1
tutende,1
kasi,1
hatutawasahau,1
ushirika,1
kindugu,1
unipe,1
huona,1
aonaye,1
kusiwe,1
hatutafuti,1
tunaporehemu,1
sawa,1
chozi,1
yatakuwa,1
tusamehe,1
alitufundisha,1
tumkoseapo,1
tunapohuzunika,1
anaturehemu,1
wakujue,1
dua,1
tunapotubu,1
huturuzuku,1
hupendezwa,1
hurehemu,1
kutuimarisha,1
wamwone,1
tutatii,1
nakutegemea,1
tupatapo,1
wanaoongoza,1
yanabadilika,1
waingiwe,1
wasiwasi,1
alikuwa,1
hakujitakia,1
kiburi,1
hakuwa,1
uuk,1
tukijua,1
tunavumilia,1
utakaotimizwa,1
tuutangaze,1
iokoayo,1
tuijenge,1
tubuni,1
tunayokabili,1
kukupendeza,1
yuleyule,1
uheshimiwe,1
unazotuonyesha,1
utusaidie,1
tupatie,1
itutatanishayo,1
mbaya,1
mwelekeo,1
hatujakamilika,1
juhudi,1
ubariki,1
weng,1
amepata,1
jukumu,1
tujizuie,1
kajishusha,1
tusikashifu,1
tukusifu,1
wakutumikiao,1
tunampendeza,1
wafurahi,1
linatulinda,1
majeshi,1
imo,1
twajaribiwa,1
ngatie,1
tuzi,1
tusikazie,1
kimwili,1
id,1
os,1
wamisri,1
mkitafuta,1
msiwe,1
bwanetu,1
pole,1
tabia,1
burudisho,1
ichukueni,1
mlio,1
kafa,1
yanampinga,1
twautetea,1
tunalipamba,1
hautakoma,1
njiwa,1
ningekuwa,1
utikiswe,1
hataacha,1
atakutegemeza,1
nisiogope,1
unijibu,1
unatufundisha,1
wachache,1
tunapolisoma,1
tunamtegemea,1
hatutamwogopa,1
nenda,1
ujapokabili,1
hatakuacha,1
tulifurahi,1
tulipopata,1
dini,1
uwongo,1
tulinyweshwa,1
tulichanganyikiwa,1
wataona,1
akupazo,1
akufanyiayo,1
uthamini,1
tafaka,1
ningeruka,1
nyikani,1
watendao,1
jeuri,1
utambuzi,1
nitangaze,1
madhabahu,1
nizunguke,1
naitanguliza,1
naipenda,1
wakusifu,1
rushwa,1
wapendao,1
iha,1
usin,1
li,1
tafadha,1
nimelichukia,1
wadanganyifu,1
sikuketi,1
unaonyesha,1
nimeazimia,1
unibariki,1
unijaribu,1
nichunguze,1
uchunguze,1
nakutumaini,1
nihukumu,1
ijapo,1
atakusaidia,1
mtii,1
afurahi,1
wapigane,1
umpendaye,1
kukukaribia,1
awezaye,1
unatuwezesha,1
wakuaminio,1
washikao,1
akujua,1
wamwamini,1
akaaye,1
upendalo,1
arusi,1
tunakuwakilisha,1
wakiwa,1
akuongoze,1
wakusanywe,1
italia,1
arumbeta,1
kuthawabishwa,1
watashiriki,1
atawafunua,1
wafunuliwe,1
wateule,1
urithini,1
atawaambia,1
mnapohubiri,1
umetupatia,1
wamjua,1
wanaokusifu,1
wanaokutii,1
wasemao,1
hutakengeuka,1
ukitii,1
naona,1
zimepungua,1
imesonga,1
kunilinda,1
huniruzuku,1
tunakutangaza,1
hataniacha,1
mwadilifu,1
ninajua,1
ninateseka,1
naumia,1
magumu,1
twapendelewa,1
twaitwa,1
kukutukuza,1
twafurahia,1
lele,1
tunataka,1
watutunza,1
watupenda,1
unatuvuta,1
watambue,1
twakumiminia,1
tupasayo,1
tuchukie,1
lanipa,1
unisikie,1
pennsylvania,1
oc,1
unatupa,1
tuzione,1
utakapoagiza,1
yatimizwe,1
nivumilie,1
kwenda,1
natamani,1
wachapishaji,1
uongozi,1
usikilize,1
nitamsifu,1
huwezi,1
nitayafanya,1
nishikamane,1
alininunua,1
niweke,1
nitamtumikia,1
itati,1
utakayemtii,1
mwenyewe,1
amua,1
mwongo,1
utamtii,1
wategemea,1
watupa,1
dhiki,1
tunakutegemea,1
tunakutupia,1
niongoze,1
nifariji,1
niinue,1
ninakusihi,1
tamaa,1
kukata,1
nimevunjika,1
ninalemewa,1
haviponi,1
vyangu,1
vidonda,1
sikia,1
kutujasirisha,1
zisizo,1
only,1
kutuvuta,1
utusamehe,1
wanyonge,1
mwako,1
mikononi,1
twaja,1
chapa,1
